verb,object,label
 absorb, water,1.0
 accomplish, task,1.0
 attack, human,1.0
 avoid, life,1.0
 bear, fruit,1.0
 bind, thing,1.0
 birth, child,1.0
 bite, person,0.4820225817337501
 blend, food,1.0
 borrow, contentment,0.5
 bother, people,1.0
 break, cd,0.5536760034456055
 break, phone,0.4463239965543945
 breath, air,0.6016181293672671
 breath, arms,0.2184398174054021
 breathe, air,0.4365883482716678
 bring, dip,1.0
 build, ammonium,0.16879552966304365
 build, carbonate,0.16879552966304365
 build, casket,0.16879552966304365
 build, sky,0.1560223516847817
 burn, cartoon,0.19046849885815317
 burn, detonator,0.21429725171277017
 burn, handclap,0.21429725171277017
 burn, scar,0.19046849885815317
 burn, webmaster,0.19046849885815317
 bury, regret,1.0
 buy, airfield,0.022740371241894833
 buy, arson,0.022740371241894833
 buy, brazier,0.022740371241894833
 buy, camisole,0.01875114017090818
 buy, charisma,0.022740371241894833
 buy, cop,0.022740371241894833
 buy, death,0.022740371241894833
 buy, distillery,0.01875114017090818
 buy, drunkenness,0.01875114017090818
 buy, enema,0.01875114017090818
 buy, fan,0.016417589587669295
 buy, flathead,0.022740371241894833
 buy, gland,0.022740371241894833
 buy, gyro,0.016417589587669295
 buy, headstone,0.022740371241894833
 buy, human,0.009488432470186674
 buy, jailer,0.01875114017090818
 buy, life,0.013477663541173324
 buy, light,0.005794406817966616
 buy, log,0.01875114017090818
 buy, lotto,0.022740371241894833
 buy, nest,0.022740371241894833
 buy, ocean,0.01875114017090818
 buy, planet,0.022740371241894833
 buy, pluto,0.022740371241894833
 buy, postcard,0.016417589587669295
 buy, sapphire,0.022740371241894833
 buy, school,0.01875114017090818
 buy, schooner,0.022740371241894833
 buy, some,0.022740371241894833
 buy, soul,0.022740371241894833
 buy, souvineers,0.022740371241894833
 buy, steamer,0.01875114017090818
 buy, stinks,0.022740371241894833
 buy, talent,0.022740371241894833
 buy, tendon,0.022740371241894833
 buy, weekend,0.022740371241894833
 carry, belongings,0.0848318344498491
 carry, car,0.047823824956542964
 carry, dart,0.0848318344498491
 carry, elephant,0.0848318344498491
 carry, logs,0.0848318344498491
 carry, mountain,0.0671745265257257
 carry, object,0.05896434589384548
 carry, pegboard,0.07369131351254658
 carry, twin,0.0848318344498491
 catch, croaker,1.0
 change, shape,0.6363473160858523
 change, color,0.23292299953668116
 change, form,0.060506943411680954
 change, property,0.0702227409657858
 check, rate,0.5
 check, tempature,0.5
 childuse, calculator,1.0
 clean, thing,0.7972418157918552
 clean, something,0.20275818420814484
 climb, tree,0.4128597663720436
 climb, attire,0.11928964955806533
 climb, idea,0.1559501946899637
 climb, turtle,0.1559501946899637
 conduct, heat,1.0
 consult, people,1.0
 consume, alcohol,0.10661036353276448
 consume, duel,0.1403737328660711
 consume, hombre,0.1403737328660711
 consume, jailbait,0.1403737328660711
 consume, plastic,0.1403737328660711
 contain, water,0.25916477693617823
 contain, thing,0.11715972066165597
 contain, flavor,0.11395959521752218
 contain, form,0.0989938778690677
 contain, meat,0.06218671942668997
 contain, pasta,0.11395959521752218
 contain, something,0.04534234237846629
 contain, tobacco,0.11395959521752218
 contain, tree,0.07527377707537528
 control, electricity,0.38956954600687144
 cook, collage,0.22981920360635566
 cook, food,0.11073797443253036
 cook, thickener,0.22981920360635566
 cook, thing,0.10608172753526289
 cook, typist,0.18809560512052642
 cost, money,0.5610423199472709
 cost, $,0.22675424153613802
 cost, lot,0.1389023864970213
 cost, more,0.05078199512094936
 cost, dollar,0.0225190568986203
 create, light,0.21177214295141905
 create, something,0.19768659058804888
 create, barrier,0.1528593856639978
 create, design,0.17375566185945668
 create, electricty,0.1319631094685389
 create, sun,0.1319631094685389
 crush, thing,1.0
 cut, anything,0.20852428315055574
 cut, hair,0.21336433192803106
 damage, house,1.0
 decompose, thing,1.0
 deliver, letter,1.0
 display, range,1.0
 drink, abuser,0.05469834947904201
 drink, alcohol,0.05469834947904201
 drink, baptism,0.07528040416569219
 drink, bioluminescence,0.05469834947904201
 drink, bleach,0.07528040416569219
 drink, cucumber,0.07528040416569219
 drink, dime,0.07528040416569219
 drink, distillery,0.06498937682236709
 drink, ground,0.05469834947904201
 drink, sty,0.05896951173262586
 drink, toner,0.07528040416569219
 drink, water,0.020888185410909664
 drive, addressee,0.04199154078913357
 drive, bioluminescence,0.02929512876843354
 drive, bomber,0.04199154078913357
 drive, boutique,0.04199154078913357
 drive, carousel,0.04199154078913357
 drive, cartoon,0.03564333477878355
 drive, lager,0.031929872315876136
 drive, men,0.04199154078913357
 drive, piano,0.04199154078913357
 drive, pinball,0.04199154078913357
 drive, riverbank,0.04199154078913357
 drive, shilling,0.04199154078913357
 drive, snowball,0.04199154078913357
 drive, stapler,0.04199154078913357
 drive, steeple,0.04199154078913357
 drive, triage,0.04199154078913357
 drive, whetstone,0.02929512876843354
 dry, thing,1.0
 earn, stargazer,1.0
 eat, meat,0.04483415233422294
 eat, grass,0.03185757369699326
 eat, plant,0.01665563804425236
 eat, cheeseburger,0.009403051704100465
 eat, fly,0.012743029478797303
 eat, hay,0.012743029478797303
 eat, animal,0.002493920623714671
 eat, apple,0.004701525852050232
 eat, avacado,0.006371514739398652
 eat, binder,0.006371514739398652
 eat, bioluminescence,0.0030315369647018133
 eat, blacktop,0.004701525852050232
 eat, board,0.006371514739398652
 eat, bookmark,0.006371514739398652
 eat, boulder,0.006371514739398652
 eat, breadbox,0.006371514739398652
 eat, breather,0.006371514739398652
 eat, brisket,0.006371514739398652
 eat, businessman,0.006371514739398652
 eat, cabin,0.004701525852050232
 eat, cadaver,0.006371514739398652
 eat, can,0.006371514739398652
 eat, cashbook,0.006371514739398652
 eat, change,0.006371514739398652
 eat, chicken,0.006371514739398652
 eat, clutch,0.006371514739398652
 eat, collaborator,0.006371514739398652
 eat, collar,0.0030315369647018133
 eat, conservatory,0.006371514739398652
 eat, cook,0.006371514739398652
 eat, corn,0.006371514739398652
 eat, crackers,0.006371514739398652
 eat, croaker,0.004701525852050232
 eat, crutch,0.006371514739398652
 eat, denture,0.006371514739398652
 eat, depositor,0.006371514739398652
 eat, desert,0.006371514739398652
 eat, diarrhea,0.006371514739398652
 eat, disclaimer,0.006371514739398652
 eat, doorkeeper,0.004701525852050232
 eat, duckweed,0.006371514739398652
 eat, eggplant,0.006371514739398652
 eat, ejector,0.006371514739398652
 eat, excavation,0.004701525852050232
 eat, faucet,0.006371514739398652
 eat, fingerprint,0.006371514739398652
 eat, firewood,0.004701525852050232
 eat, friend,0.004701525852050232
 eat, friut,0.006371514739398652
 eat, fruit,0.0013615480773533936
 eat, goldsmith,0.004701525852050232
 eat, goulash,0.006371514739398652
 eat, groceries,0.006371514739398652
 eat, hearse,0.006371514739398652
 eat, hemp,0.004701525852050232
 eat, historian,0.006371514739398652
 eat, home,0.006371514739398652
 eat, inquisitor,0.004701525852050232
 eat, jailer,0.004701525852050232
 eat, kindling,0.006371514739398652
 eat, kiwi,0.006371514739398652
 eat, krill,0.006371514739398652
 eat, lager,0.00372464497633036
 eat, lagoon,0.006371514739398652
 eat, leave,0.0005943023797326105
 eat, litmus,0.006371514739398652
 eat, magazine,0.004701525852050232
 eat, mahjong,0.006371514739398652
 eat, mainframe,0.004701525852050232
 eat, manager,0.006371514739398652
 eat, map,0.006371514739398652
 eat, matchbox,0.006371514739398652
 eat, measurer,0.006371514739398652
 eat, methane,0.006371514739398652
 eat, midterm,0.004701525852050232
 eat, mite,0.006371514739398652
 eat, moneybag,0.006371514739398652
 eat, neckerchief,0.006371514739398652
 eat, newsletter,0.006371514739398652
 eat, nutcracker,0.004701525852050232
 eat, oboe,0.006371514739398652
 eat, origami,0.004701525852050232
 eat, oven,0.006371514739398652
 eat, pedal,0.004701525852050232
 eat, percolator,0.006371514739398652
 eat, phone,0.0030315369647018133
 eat, pinecone,0.006371514739398652
 eat, plank,0.006371514739398652
 eat, plankton,0.006371514739398652
 eat, plutonium,0.006371514739398652
 eat, poop,0.006371514739398652
 eat, prizefighter,0.004701525852050232
 eat, roofline,0.006371514739398652
 eat, sailcloth,0.006371514739398652
 eat, sewage,0.004701525852050232
 eat, shrimp,0.006371514739398652
 eat, shunt,0.006371514739398652
 eat, slicer,0.006371514739398652
 eat, snapper,0.004701525852050232
 eat, sod,0.006371514739398652
 eat, stage,0.006371514739398652
 eat, stick,0.006371514739398652
 eat, sty,0.00372464497633036
 eat, submit,0.006371514739398652
 eat, sun,0.0030315369647018133
 eat, sunburn,0.006371514739398652
 eat, sweatshop,0.006371514739398652
 eat, sweetener,0.004701525852050232
 eat, testicle,0.006371514739398652
 eat, thicket,0.006371514739398652
 eat, tinderbox,0.004701525852050232
 eat, tinsel,0.006371514739398652
 eat, toehold,0.004701525852050232
 eat, toymaker,0.006371514739398652
 eat, traps,0.004701525852050232
 eat, trophy,0.004701525852050232
 eat, tusk,0.0030315369647018133
 eat, uncle,0.006371514739398652
 eat, undershorts,0.006371514739398652
 eat, virus,0.006371514739398652
 eat, vise,0.004701525852050232
 eat, walked,0.006371514739398652
 eat, warrior,0.004701525852050232
 eat, whetstone,0.0030315369647018133
 eat, whiskbroom,0.006371514739398652
 eat, white,0.006371514739398652
 eat, wood,0.00372464497633036
 eat, wound,0.004701525852050232
 eat, wristband,0.006371514739398652
 eat, zebra,0.004701525852050232
 emit, light,0.904538741409049
 enjoy, dust,0.3451576220074929
 enjoy, hemp,0.30968475598501405
 enjoy, trouble,0.3451576220074929
 feed, chrysanthemum,0.33333333333333337
 feed, overeater,0.33333333333333337
 feed, worth,0.33333333333333337
 feel, light,0.0984068824702697
 feel, loin,0.19166906398219336
 feel, pain,0.15687161040888112
 feel, ranch,0.19166906398219336
 feel, sidebar,0.16971431517426924
 fight, fire,1.0
 find, blockage,0.10126690984680217
 find, interior,0.10126690984680217
 find, liter,0.10126690984680217
 find, load,0.10126690984680217
 find, papaya,0.10126690984680217
 find, serum,0.10126690984680217
 find, snapper,0.08859781137878045
 find, suburb,0.10126690984680217
 find, suture,0.10126690984680217
 find, wedding,0.10126690984680217
 fix, thing,1.0
 freeze, clan,0.5
 give, fruit,0.3552931011795441
 give, heat,0.3552931011795441
 give, light,0.28941379764091185
 grill, attraction,0.3800023261185904
 grill, cutlet,0.3800023261185904
 grow, fruit,0.2504462086534934
 grow, bitters,0.1637071411625874
 grow, horn,0.11396724511407746
 grow, jellyfish,0.1637071411625874
 grow, teaspoonful,0.14446512274466705
